,title,Rate,No_of_Ratings,Format,ReleaseYear,Directed_By,Starring,Price
73,Everything is Both,4.5,135,Prime Video,2023.0,Ceth Watson,"Jason Mitchell,Barton Fitzpatrick",3.99
74,Memory,4.4,10525,Prime Video,2022.0,Martin Campbell,"Liam Neeson,Guy Pearce,Monica Bellucci,Taj Atwal",3.99
75,Freaky,4.3,23990,Prime Video,2020.0,Christopher Landon,"Vince Vaughn,Kathryn Newton,Katie Finneran",3.99
76,Nobody,4.6,86741,Prime Video,2021.0,Ilya Naishuller,"Bob Odenkirk,Connie Nielsen,Alexey Serebryakov,RZA",3.99
77,The Rebound,4.5,470,Prime Video,2012.0,Bart Freundlich,"Catherine Zeta-Jones,Justin Bartha,Andrew Cherry",3.99
78,Mama,4.5,11453,Prime Video,2013.0,Andres Muschietti,"Jessica Chastain,Nikolaj Coster-Waldau",3.99
79,The Magic Of Belle Isle,4.8,7074,Prime Video,2012.0,Rob Reiner,"Morgan Freeman,Virginia Madsen",2.99
80,Operation Fortune: Ruse de Guerre,4.2,4367,Prime Video,2023.0,Guy Ritchie,"Josh Hartnett,Jason Statham,Cary Elwes,Eddie Marsan",2.99
81,Edge of Darkness,4.5,3072,Prime Video,2010.0,Martin Campbell,"Mel Gibson,Ray Winstone,Danny Huston",2.99
82,Snapshot of Love,4.0,120,Prime Video,2022.0,Elizabeth Snoderly,"Lexi Giovagnoli,Benedict Mazurek",2.99
83,Puppy Love,4.6,193,Prime Video,2023.0,"Richard Alan Reid_,Nick Fabiano","Lucy Hale,Grant Gustin,Christine Lee,Al Miro",2.99
84,Cold Pursuit,4.3,9829,Prime Video,2019.0,Hans Petter Moland,"Liam Neeson,Laura Dern,Emmy Rossum,Tom Bateman",3.79
85,My Louisiana Sky,4.5,89,Prime Video,2001.0,Adam Arkin,"Juliette Lewis,Michael Cera,Shirley Knight",3.79
86,Running Scared,4.6,3273,Prime Video,2006.0,---,"Paul Walker,Cameron Bright,Vera Farmiga",2.89
87,Devil,4.5,4215,Prime Video,2010.0,"John Erick Dowdle,Drew Dowdle","Chris Messina,Logan Marshall-Green,Geoffrey Arend",3.99
88,Wonder Woman,4.6,48638,Prime Video,2017.0,Patty Jenkins,"Gal Gadot,Chris Pine,Robin Wright,Danny Huston",3.79
89,Interstellar,4.7,99475,Prime Video,2014.0,Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",3.79
90,PAW Patrol: The Movie,4.8,20083,Prime Video,2021.0,Cal Brunker,"Tyler Perry,Ron Pardo,Will Brisbin",3.89
91,Ozzy,4.4,938,Prime Video,2017.0,Alberto Rodriguez,"Jeff Foxworthy,Rob Schneider,Frankie Quinones",3.89
92,"The Twilight Saga: Breaking Dawn, Part 2",4.7,31962,Prime Video,2012.0,Bill Condon,"Dakota Fanning,Elizabeth Reaser,Julia Jones",3.79
93,The Break-Up,4.6,4692,Prime Video,2006.0,Sharon Vaughn,"Vince Vaughn,Jennifer Aniston,Joey Lauren Adams",3.99
94,The Tomorrow War,4.1,33263,Prime Video,2021.0,Chris McKay,"Chris Pratt,J.K. Simmons,Yvonne Strahovski",3.99
95,No Hard Feelings,4.3,4255,Prime Video,2023.0,Gene Stupnitsky,"Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti",5.99
96,No Time to Die,4.5,74386,Prime Video,2021.0,Cary Joji Fukunaga,"Daniel Craig,Rami Malek,LÃ©a Seydoux,Lashana Lynch",3.99
97,The SpongeBob Movie: Sponge Out Of Water,4.5,26867,Prime Video,2015.0,"Mike Mitchell,Paul Tibbitt",Antonio Banderas,3.99
98,Ticket to Paradise,4.3,19087,Prime Video,2022.0,Ol Parker,"George Clooney,Julia Roberts,Kaitlyn Dever",4.19
99,Shaft (2019),4.7,10840,Prime Video,2019.0,Tim Story,"Samuel L. Jackson,Jessie T. Usher,Richard Roundtree",4.19
100,Jigsaw,4.5,9556,Prime Video,2017.0,"Michael Spierig,Peter Spierig","Hannah Anderson,Laura Vandervoort",3.99
101,You Asked to See the Monster,4.0,551,Prime Video,2023.0,Thomas Leader,Gary Green,3.99
102,Scooby-Doo!: The Movie,4.7,16498,Prime Video,2002.0,Raja Gosnell,"Freddie Prinze, Jr.,Sarah Michelle Gellar",3.79
103,Mission: Impossible - Dead Reckoning Part One,4.4,33,Prime Video,2023.0,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg",19.99
104,Talk to Me,4.3,645,Prime Video,2023.0,"Danny Philippou,Michael Philippou",Sophie Wilde,4.99
105,Constantine,4.8,14330,Prime Video,2005.0,Francis Lawrence,"Keanu Reeves,Rachel Weisz,Shia LaBeouf,Tilda Swinton",3.99
106,Blacklight,4.2,19811,Prime Video,2022.0,Mark Williams,"Liam Neeson,Emmy Raver-Lampman,Taylor John Smith",3.99
107,Running with the Devil,4.1,4837,Prime Video,2019.0,Jason Cabell,"Nicolas Cage,Laurence Fishburne",3.99
108,The Post,4.6,6840,Prime Video,2017.0,Steven Spielberg,"Meryl Streep,Tom Hanks,Sarah Paulson,Bob Odenkirk",3.99
109,Watchmen,4.6,13866,Prime Video,2009.0,Zack Snyder,"Malin Akerman,Billy Crudup,Matthew Goode,Carla Gugino",3.79
110,Terrifier 2,4.0,4011,Prime Video,2022.0,Damien Leone,"Lauren LaVera,David Howard Thornton,Elliott Fullam",3.79
111,The Wedding Singer,4.8,15110,Prime Video,1998.0,Frank Coraci,"Adam Sandler,Drew Barrymore,Christine Taylor",3.39
112,Mission: Impossible - Dead Reckoning Part One,4.4,33,Prime Video,2023.0,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg",19.99
113,The Lost City,4.3,39565,Prime Video,2022.0,"Adam Nee,Aaron Nee","Sandra Bullock,Channing Tatum,Daniel Radcliffe",3.89
114,Running with the Devil,4.1,4837,Prime Video,2019.0,Jason Cabell,"Nicolas Cage,Laurence Fishburne",3.89
115,Fantastica: A Boonie Bears Adventure,4.4,117,Prime Video,2019.0,Leon Ding,"Mario Lopez,Josh Peck,Joseph S. Lambert,Gene Hobbs",3.89
116,Howard's Mill,4.0,21,Prime Video,2021.0,"Shannon Houchins,Potsy Ponciroli","Reegus Flenory,Josafina F Boneo,Jeremy Childs",0.99
117,The Nun II,4.1,115,Prime Video,2023.0,Michael Chaves,"Taissa Farmiga,Jonas Bloquet,Storm Reid",19.99
118,Baked With a Kiss,4.0,6,Prime Video,2023.0,Brittany Underwood,"Jonathan Stoddard,Ansley Gordon,Milly Figuereo",19.99
119,The Jungle Bunch,4.0,96,Prime Video,2017.0,David Alaux,"Keith Silverstein,Kirk Thornton,Erin Fitzgerald",19.99
120,80 for Brady,4.3,7856,Prime Video,2023.0,Kyle Marvin,"Lily Tomlin,Jane Fonda,Rita Moreno,Sally Field",5.99
121,Scream VI,4.4,3058,Prime Video,2023.0,"Matt Bettinelli-Olpin,Tyler Gillett","Melissa Barrera,Jasmin Savoy Brown,Jack Champion",5.99
122,Scooby-Doo!: The Movie,4.7,16498,Prime Video,2002.0,Raja Gosnell,"Freddie Prinze, Jr.,Sarah Michelle Gellar",3.79
123,Dog,4.6,66280,Prime Video,2022.0,"Channing Tatum,Reid Carolin","Channing Tatum,Jane Adams,Kevin Nash",5.99
124,Shazam!,4.5,39847,Prime Video,2019.0,David Sandberg,"Zachary Levi,Asher Angel,Mark Strong",3.79
125,Pavement,4.0,40,Prime Video,2002.0,Darrell James Roodt,"Robert Patrick,Lauren Holly",3.79
126,The Equalizer,4.8,61762,Prime Video,2014.0,Antoine Fuqua,"Denzel Washington,Marton Csokas,ChloÃ« Grace Moretz",3.59
127,Driving Miss Daisy,4.8,7755,Prime Video,1990.0,Bruce Beresford,"Morgan Freeman,Jessica Tandy,Dan Aykroyd,Patti LuPone",2.89
128,M3GAN (Unrated),4.2,18613,Prime Video,2023.0,Gerard Johnstone,"Allison Williams,Ronny Chieng,Violet McGraw",3.99
129,Saw II,4.5,3163,Prime Video,2005.0,Darren Lynn Bousman,"Donnie Wahlberg,Tobin Bell,Shawnee Smith,Franky G.",3.99
130,PAW Patrol: Mighty Pups,4.7,3636,Prime Video,2018.0,Jamie Whitney,"Devan Cohen,Owen Mason,Kallan Holley,Gage Munroe",4.99
131,Grace of Monaco,4.2,611,Prime Video,2014.0,Olivier Dahan,"Nicole Kidman,Tim Roth,Frank Langella,Paz Vega",4.99
