,title,Rate,No_of_Ratings,Format,ReleaseYear,Directed_By,Starring,Price
987,The Prophecy,4.4,851,Prime Video,1995.0,Roger Michell,"Christopher Walken,Elias Koteas,Virginia Madsen",3.99
988,Past Lives,4.3,129,Prime Video,2023.0,Celine Song,"Greta Lee,Teo Yoo,John Magaro,Jojo T. Gibbs",4.99
989,Tim Burton's Corpse Bride,4.8,21660,Prime Video,2005.0,"Mike Johnson,Tim Burton","Johnny Depp,Helena Bonham Carter,Emily Watson",3.79
990,Transformers: Age of Extinction,4.6,33799,Prime Video,2014.0,Michael Bay,"Mark Wahlberg,Stanley Tucci,John Goodman",3.79
991,Ralphie May: Prime Cut,4.4,295,Prime Video,2022.0,Alan C. Blomquist,Ralphie May,3.79
992,Tyler Perry's Madea on the Run,4.6,5910,Prime Video,2017.0,Tyler Perry,"Cassi Davis,Rhonda Davis,Tony Hightower",3.59
993,School of Rock,4.8,13967,Prime Video,2003.0,Richard Linklater,"Jack Black,Joan Cusack,Mike White,Adam Pascal",3.99
994,Cocktail,4.7,8365,Prime Video,1988.0,Roger Donaldson,"Tom Cruise,Bryan Brown,Elisabeth Shue",3.99
995,Practical Magic (1998),4.8,35486,Prime Video,1998.0,Griffin Dunne,"Sandra Bullock,Nicole Kidman,Dianne Wiest",3.79
996,Hidden Saudi Arabia,4.2,22,Prime Video,2023.0,Grady Candler,Peter Greenberg,1.99
997,Outlander,4.4,5648,Prime Video,2009.0,Howard McCain,"Jim Caviezel,Sophia Myles,John Hurt,Ron Perlman",1.99
998,Stolen,4.2,519,Prime Video,2012.0,Simon West,"Nicolas Cage,Josh Lucas,Danny Huston,Malin Akerman",1.99
999,Christmas in Mississippi,4.5,494,Prime Video,2017.0,Emily Moss Wilson,"Jana Kramer,Wes Brown,Faith Ford",1.99
1000,Pride and Prejudice,4.9,41189,Prime Video,2005.0,Joe Wright,"Keira Knightley,Matthew Macfadyen,Brenda Blethyn",3.79
1001,Insidious: The Last Key,4.6,21016,Prime Video,2018.0,Adam Robitel,"Lin Shaye,Leigh Whannell,Angus Sampson",3.79
1002,The Wraith,4.7,3702,Prime Video,1986.0,Mike Marvin,"Charlie Sheen,Nick Cassavetes,Randy Quaid",3.79
1003,Barnyard,4.7,6773,Prime Video,2006.0,Steve Oedekerk,"Kevin James,Courteney Cox,Sam Elliott,Danny Glover",4.29
1004,Exists,4.2,1531,Prime Video,2014.0,Eduardo Sanchez,"Dora Madison Burge,Brian Steele,Denise Williamson",4.29
1005,Doom,4.5,2647,Prime Video,1996.0,Andrzej Bartkowiak,"Karl Urban,Dhobi Oparei,Dwayne ""The Rock"" Johnson",3.99
1006,Horns,4.4,2493,Prime Video,2014.0,Alexandre Aja,"Daniel Radcliffe,Juno Temple,Max Minghella",3.99
1008,Quinceanera,4.6,442,Prime Video,2006.0,"Richard Glatzer,Wash Westmoreland","Emily Rios,Pascaline CrÃªvecoeur,Jesse Garcia",3.99
1009,The Bad News Bears,4.7,2790,Prime Video,1976.0,Michael Ritchie,"Walter Matthau,Tatum O'Neal,Vic Morrow",3.79
1011,Date Night,4.6,180,Prime Video,2010.0,Shawn Levy,"Steve Carell,Tina Fey,Taraji Henson,Common",3.79
1012,The Final Countdown,4.7,7245,Prime Video,1980.0,Don Taylor,"Kirk Douglas,Martin Sheen,Katharine Ross",1.99
1013,Expecting Amish,4.2,221,Prime Video,2014.0,Richard Gabai,"AJ Michalka,Jesse McCartney,Alyson Stoner,Cayden Boyd",1.99
1014,Die Another Day,4.6,3159,Prime Video,2002.0,Lee Tamahori,"Pierce Brosnan,Toby Stephens (Gustav Graves)",3.99
1015,Nefarious,4.5,7772,Prime Video,2023.0,"Chuck Konzelman,Cary Solomon","Sean Patrick Flanery,Jordan Belfi,Tom Ohmer",4.99
1016,Limitless,4.7,12665,Prime Video,2011.0,Neil Burger,"Bradley Cooper,Abbie Cornish,Robert De Niro",2.99
1017,Terminator 2: Judgment Day,4.7,16168,Prime Video,1991.0,James Cameron,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",9.99
1018,"Are You There God? It's Me, Margaret.",4.6,4709,Prime Video,2023.0,Kelly Fremon Craig,"Abby Ryder Fortson,Rachel McAdams,Kathy Bates",5.99
1019,Final Destination,4.6,7968,Prime Video,2000.0,James Wong,"Devon Sawa,Ali Larter,Kerr Smith,Tony Todd",2.89
1020,Hellraiser,4.3,371,Prime Video,1987.0,Clive Barker,"Clare Higgins,Ashley Laurence,Andrew Robinson",2.99
1021,Hide N Seek,5.0,1,Prime Video,2023.0,Tolu LordTanner,"Kunle Remi,Uche Montana,Bimbo Ademoye,Kiki Omeili",2.99
1022,Child's Play,4.6,7555,Prime Video,1988.0,Tom Holland,"Catherine Hicks,Chris Sarandon",2.99
1023,The King's Speech,4.8,8928,Prime Video,2010.0,Tom Hooper,"Colin Firth,Geoffrey Rush,Helena Bonham Carter",3.99
1024,Journey to the Center of the Earth,4.1,126,Prime Video,2008.0,T.J. Scott,"Rick Schroder,Victoria Pratt,Peter Fonda",3.99
1025,Alpha and Omega: Family Vacation,4.5,234,Prime Video,2015.0,Richard Rich,"Ben Diskin,Kate Higgins,Dee Dee Greene",3.99
1026,Hellraiser,4.3,371,Prime Video,1987.0,Clive Barker,"Clare Higgins,Ashley Laurence,Andrew Robinson",2.99
1028,The Maze Runner,4.7,31747,Prime Video,2014.0,Wes Ball,"Dylan O'Brien,Kate Scodelario,Thomas Brodie-Sangster",3.79
1029,From Russia with Love,4.7,2764,Prime Video,1964.0,Terence Young,"Sean Connery,Daniela Bianchi,Robert Shaw,Lotte Lenya",3.89
1030,Fifty Shades Of Grey,4.5,71931,Prime Video,2016.0,Sam Taylor-Johnson,"Dakota Johnson,Jamie Dornan,Jennifer Ehle",3.89
1031,Love Sarah,4.2,1829,Prime Video,2021.0,Eliza Schroeder,"Celia Imrie,Shelley Conn,Shannon Tarbet",3.89
1032,Star Trek Beyond,4.6,11096,Prime Video,2016.0,Justin Lin,"Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana",2.89
1033,Breaking,4.4,3699,Prime Video,2022.0,Abi Damaris Corbin,"John Boyega,Nicole Beharie,Michael Kenneth Williams",1.99
1034,Hall Pass (Enlarged Edition),4.5,3835,Prime Video,2011.0,"Peter Farrelly,Bobby Farrelly","Owen Wilson,Jason Sudeikis,Jenna Fischer",4.99
1035,Creepshow 2,4.7,2675,Prime Video,1987.0,Michael Gornick,"Tom Savini,Domenick John",2.99
1036,"O Brother, Where Art Thou?",4.8,27121,Prime Video,2001.0,Joel Coen,"George Clooney,John Turturro,Tim Blake Nelson",3.79
1037,Madame Nobel,4.3,7,Prime Video,2014.0,Urs Egger,"Birgit Minichmayr,Sebastian Koch,Philipp Hochmair",3.79
1038,Child's Play,4.6,7555,Prime Video,1988.0,Tom Holland,"Catherine Hicks,Chris Sarandon",3.79
1039,The Good Heart,4.1,98,Prime Video,2004.0,"Dagur KÃ¡ri,Dagur Kari","Brian Cox,Paul Dano,Isild Le Besco",3.79
1040,"O Brother, Where Art Thou?",4.8,27121,Prime Video,2001.0,Joel Coen,"George Clooney,John Turturro,Tim Blake Nelson",3.79
1041,Halloween 5,4.6,2852,Prime Video,1989.0,Dominique Othenin-Girard,"Donald Pleasence,Don Shanks,Danielle Harris",3.79
1042,Stir of Echoes,4.7,3238,Prime Video,1999.0,David Koepp,"Zachery David Cope,Kevin Bacon,Kathryn Erbe",3.79
1043,One for the Money,4.5,5094,Prime Video,2012.0,Julie Anne Robinson,"Katherine Heigl,Jason O'Mara,Daniel Sunjata",3.79
1044,Double Jeopardy,4.8,4806,Prime Video,1999.0,---,"Tommy Lee Jones,Ashley Judd,Bruce Greenwood",4.29
1045,Carmen,4.1,246,Prime Video,2022.0,Valerie Buhagiar,"Natascha McElhone,Steven Love,Richard Clarkin",4.29
1046,Invisible History: Middle Florida's Hidden Roots,4.3,44,Prime Video,2021.0,Valerie Scoon,Tyra Ferrell,4.29
1047,Shallow Hal,4.6,6659,Prime Video,2001.0,"Bobby Farrelly,Peter Farrelly","Gwyneth Paltrow,Jack Black,Jason Alexander,Susan Ward",3.79
1049,Alpha and Omega: Family Vacation,4.5,234,Prime Video,2015.0,Richard Rich,"Ben Diskin,Kate Higgins,Dee Dee Greene",3.79
1050,The Canterville Ghost,4.6,702,Prime Video,1996.0,Syd Macartney,"Patrick Stewart,Neve Campbell",3.79
1051,Christmas on the Range,4.5,921,Prime Video,2019.0,Gary Wheeler,"Erin Cahill,Nicholas Gonzalez,Lindsay Wagner",3.79
1053,The 40 Year-Old Virgin,4.7,10065,Prime Video,2005.0,Judd Apatow,"Steve Carell,Catherine Keener,Paul Rudd,Romany Malco",3.99
1054,Once Upon A Crime,4.5,560,Prime Video,1992.0,Eugene Levy,"John Candy,James Belushi,Cybill Shepherd",3.99
1055,Stand and Deliver,4.8,4431,Prime Video,1988.0,RamÃ³n MenÃ©ndez,"Edward James Olmos,Lou Diamond Phillips",2.99
1056,Broken Embraces,4.5,394,Prime Video,2010.0,Pedro AlmodÃ³var,"PenÃ©lope Cruz,LluÃ­s Homar,Blanca Portillo",3.59
1057,Journey to the Center of the Earth,4.1,126,Prime Video,2008.0,T.J. Scott,"Rick Schroder,Victoria Pratt,Peter Fonda",3.59
1058,Betrayed,4.2,403,Prime Video,2021.0,Eirik Svensson,"Jakob Oftebro,Silje Storstein,Carl Martin EggesbÃ¸",3.99
1059,When Harry Met Sally,4.8,12962,Prime Video,1989.0,Rob Reiner,"Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby",4.29
1060,The Baytown Outlaws,4.3,2391,Prime Video,2013.0,Barry Battles,"Billy Bob Thornton,Eva Longoria",3.99
1061,Curious Caterer: Grilling Season,4.2,8,Prime Video,2023.0,Paul Ziller,"Nikki DeLoach,Jaycie Dotin,Andrew W. Walker",3.99
1062,Arbitrage,4.3,2902,Prime Video,2012.0,Nicholas Jarecki,"Brit Marling,Laetitia Casta,Nate Parker,Richard Gere",3.99
1063,Wedding Cottage,5.0,11,Prime Video,2023.0,Terry Ingram,"Aaron Douglas,Erin Krakow,Brendan Penny",3.99
1064,Live and Let Die,4.6,2570,Prime Video,1973.0,---,"Roger Moore,Yaphet Kotto,Jane Seymour,Clifton James",3.89
1065,21 Grams,4.3,957,Prime Video,2004.0,Alejandro Gonzalez Inarritu,"Naomi Watts,Benicio Del Toro,Sean Penn,Clea DuVall",3.79
1066,The Man in the Moon,4.8,2270,Prime Video,1991.0,Robert Mulligan,"Sam Waterston,Tess Harper,Gail Strickland",3.79
1067,Edge of Tomorrow,4.8,1712,Prime Video,2014.0,Doug Liman,"Tom Cruise,Emily Blunt,Brendan Gleeson",3.79
1068,Lucy Shimmers and the Prince of Peace,4.8,632,Prime Video,2020.0,Rob Diamond,"Scarlett Diamond,Vincent Vargas,Adam Hightower",2.99
1069,Madame Nobel,4.3,7,Prime Video,2014.0,Urs Egger,"Birgit Minichmayr,Sebastian Koch,Philipp Hochmair",2.99
1070,"Jeff, Who Lives at Home",4.5,650,Prime Video,2011.0,"Jay Duplass,Mark Duplass","Jason Segel,Ed Helms,Susan Sarandon",3.79
1071,The 5th Quarter,4.6,584,Prime Video,2011.0,Rick Bieber,"Andie MacDowell,Aidan Quinn",3.79
1072,Death on the Nile,4.7,2558,Prime Video,1978.0,John Guillermin,"Peter Ustinov,Bette David,Mia Farrow,Jane Birkin",3.79
1073,Life Without Hope,4.0,27,Prime Video,2020.0,Leo Sullivan,"Andra Fuller,Michael Finn,Erica Page,Maurice Johnson",3.79
1074,Annabelle Comes Home,4.5,23315,Prime Video,2019.0,Gary Dauberman,"Vera Farmiga,Patrick Wilson,Mckenna Grace",3.79
1075,Transformers: Dark of the Moon,4.7,12563,Prime Video,2011.0,---,"Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson",3.39
1076,Brick Mansions,4.5,2337,Prime Video,2014.0,Not Specified,"Paul Walker,Robert Maillet,Rza,David Belle",2.99
1077,Silver Linings Playbook,4.6,10633,Prime Video,2012.0,David O. Russell,"Bradley Cooper,Jennifer Lawrence,Robert De Niro",3.99
1078,Double Jeopardy,4.8,4806,Prime Video,1999.0,---,"Tommy Lee Jones,Ashley Judd,Bruce Greenwood",4.29
1079,21 Grams,4.3,957,Prime Video,2004.0,Alejandro Gonzalez Inarritu,"Naomi Watts,Benicio Del Toro,Sean Penn,Clea DuVall",3.79
1080,Halloween 5,4.6,2852,Prime Video,1989.0,Dominique Othenin-Girard,"Donald Pleasence,Don Shanks,Danielle Harris",3.79
1081,Silent Fall,4.0,353,Prime Video,1994.0,Bruce Beresford,"Richard Dreyfuss,Linda Hamilton,John Lithgow",3.79
1082,Resident Evil: Welcome to Raccoon City,4.0,13345,Prime Video,2021.0,Johannes Roberts,"Kaya Scodelario,Hannah John-Kamen,Robbie Amell",3.99
1083,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,4.8,2418,Prime Video,1991.0,Michael Pressman,"David Warner,Mark Caso,Paige Turco,Michelan Sisti",3.99
1084,Gone,4.4,1970,Prime Video,2012.0,Heitor Dhalia,"Amanda Seyfried,Jennifer Carpenter,Wes Bentley",3.99
1085,The Hobbit: An Unexpected Journey,4.8,40368,Prime Video,2012.0,Peter Jackson,"Ian Mckellen,Martin Freeman,Richard Armitage",3.99
1086,Goldeneye,4.6,3746,Prime Video,1995.0,Martin Campbell,"Pierce Brosnan,Sean Bean,Izabella Scorupco",3.89
1087,Paper Soldiers,4.5,798,Prime Video,2002.0,"Damon Dash,David Daniel","Kevin Hart,Beanie Sigel,Damon Dash,Stacey Dash",3.79
1088,Cloudy with a Chance of Meatballs,4.7,6720,Prime Video,2009.0,"Phil Lord,Christopher Miller","Anna Faris,Bill Hader,Bruce Campbell,James Caan",3.79
1089,Buffaloed,4.1,885,Prime Video,2019.0,Tanya Wexler,"Zoey Deutch,Judy Greer,Jai Courtney,Jermaine Fowler",2.99
1090,Life Without Hope,4.0,27,Prime Video,2020.0,Leo Sullivan,"Andra Fuller,Michael Finn,Erica Page,Maurice Johnson",2.99
1091,The Remaining,4.2,5385,Prime Video,2014.0,Casey Lascala,"Johnny Pacar,Shaun Sipos,Bryan Dechart,Alexa Vega",3.99
1092,Saving Private Ryan,4.8,32111,Prime Video,1998.0,Steven Spielberg,"Tom Hanks,Edward Burns,Matt Damon,Tom Sizemore",3.79
1093,A Father's Legacy,4.6,303,Prime Video,2021.0,Jason Mac,"Tobin Bell,Jason Mac,Gregory Alan Williams,Kurt Yue",3.79
1094,Inside a Cult: Messiah on Trial,4.1,60,Prime Video,2009.0,Ben Anthony,Michael Travesser,3.79
1095,Death on the Nile,4.7,2558,Prime Video,1978.0,John Guillermin,"Peter Ustinov,Bette David,Mia Farrow,Jane Birkin",3.79
1096,Phantasm: Remastered,4.4,1451,Prime Video,1979.0,Don Coscarelli,"A. Michael Baldwin,Bill Thornbury,Reggie Bannister",3.79
1097,Phantoms,4.4,1345,Prime Video,1998.0,Joe Chappelle,"Joanna Going,Peter O'Toole,Rose McGowan",2.49
1098,Make Up,4.0,260,Prime Video,2021.0,Claire Oakley,"Molly Windsor,Stefanie Martini,Joseph Quinn",3.99
1101,The Hobbit: An Unexpected Journey,4.8,40368,Prime Video,2012.0,Peter Jackson,"Ian Mckellen,Martin Freeman,Richard Armitage",3.99
1102,Acts of Violence,4.2,2266,Prime Video,2018.0,Brett Donowho,"Bruce Willis,Cole Hauser,Shawn Ashmore,Ashton Holmes",3.99
1103,Scary Movie 2,4.6,6503,Prime Video,2001.0,Keenen Ivory Wayans,"Shawn Wayans,Marlon Wayans,Anna Faris,Regina Hall",3.99
1104,Annabelle Comes Home,4.5,23315,Prime Video,2019.0,Gary Dauberman,"Vera Farmiga,Patrick Wilson,Mckenna Grace",3.79
1105,Prairie Fever,4.4,109,Prime Video,2008.0,Stephen Bridgewater,"Kevin Sorbo,Lance Henriksen,Felicia Day",3.79
1106,Evil Dead,4.6,13369,Prime Video,2013.0,Fede Alvarez,"Jane Levy,Rupert Degas,Bob Dorian,Jessica Lucas",3.59
1107,Edward Scissorhands,4.8,15706,Prime Video,1990.0,Tim Burton,"Johnny Depp,Winona Ryder,Dianne Wiest",3.59
1108,Brick Mansions,4.5,2337,Prime Video,2014.0,Not Specified,"Paul Walker,Robert Maillet,Rza,David Belle",2.99
1109,Hoopties,5.0,3,Prime Video,2023.0,Jeremy Berger,"Chris Abbot,Christine Mittura",2.99
1110,Trust,4.4,425,Prime Video,2011.0,David Schwimmer,"Clive Owen,Viola Davis,Jason Clarke,Catherine Keener",2.99
1111,Princess of the Row,4.6,232,Prime Video,2020.0,Van Maximilian Carlson,"Edi Gathegi,Tayler Buck,Ana Ortiz,Jacob Vargas",2.99
1112,Fantastic Beasts: The Secrets of Dumbledore,4.4,20077,Prime Video,2022.0,David Yates,"Jude Law,Eddie Redmayne,Mads Mikkelsen,Ezra Miller",3.79
1113,Thiruchitrambalam,4.5,2,Prime Video,2022.0,Mithran Jawahar,"Dhanush,Nithya Menen,Raashi Khanna",3.79
1116,Always At The Carlyle,4.5,711,Prime Video,2018.0,Matthew Miele,"George Clooney,Anthony Bourdain,Jeff Goldblum",3.79
1117,Saturday Night Fever,4.6,8870,Prime Video,1977.0,John Badham,"John Travolta,Karen Lynn Gorney,Barry Miller",3.79
1118,Shrapnel,4.0,270,Prime Video,2023.0,William Kaufman,"Jason Patric,Cam Gigandet,Kesia Elwin",3.99
1119,Swordfish,4.6,1562,Prime Video,2001.0,Dominic Sena,"John Travolta,Hugh Jackman,Halle Berry,Don Cheadle",3.99
1121,Moonraker,4.6,2555,Prime Video,1979.0,Lewis Gilbert,"Roger Moore,Lois Chiles,Michael Lonsdale,Richard Kiel",3.99
1122,The Man with the Golden Gun,4.6,1989,Prime Video,1974.0,Guy Hamilton,"Roger Moore,Christopher Lee,Britt Ekland",3.99
1123,Support Your Local Gunfighter,4.7,1723,Prime Video,1971.0,Burt Kennedy,"James Garner,Jack Elam,Suzanne Pleshette,Harry Morgan",3.99
1124,The Conjuring 2,4.6,19557,Prime Video,2016.0,James Wan,"Patrick Wilson,Vera Farmiga",2.89
1125,Nanny McPhee Returns,4.7,3965,Prime Video,2010.0,Susanna White,"Emma Thompson,Maggie Gyllenhaal,Rhys Ifans",3.99
1126,A Monster In Paris,4.7,2254,Prime Video,2012.0,Bilbo Bergeron,"Matthieu Chedid,Vanessa Paradis,Gad Elmaleh",3.99
1127,Wild Prairie Rose,4.4,157,Prime Video,2016.0,Deborah LaVine,"Tara Samuel,Troy Kotsur,Suanne Spoke",3.99
1128,The Notebook,4.8,34346,Prime Video,2004.0,Nick Cassavetes,"Ryan Gosling,Rachel McAdams,James Garner",3.99
1129,Spoiler Alert,4.6,688,Prime Video,2022.0,Michael Showalter,"Jim Parsons,Ben Aldridge,Sally Field,Bill Irwin",3.99
1130,The Woman Who Wasn't There,4.1,360,Prime Video,2012.0,Angelo J. Guglielmo Jr.,Tania Head,2.99
1131,The Queen's Corgi,4.0,3180,Prime Video,2020.0,"Vincent Kesteloot,Ben Stassen","Leo Barakat,Jo Wyatt,Dino Andrade",0.99
1132,Messenger of Death,4.1,169,Prime Video,1988.0,J. Lee Thompson,"Charles Bronson,Trish Van Devere,Lawrence Luckinbill",0.99
1133,The Substitute,4.6,1079,Prime Video,1996.0,Robert Mandel,"Tom Berenger,Raymond Cruz,William Forsythe",0.99
1134,Book Club,4.5,8433,Prime Video,2018.0,Bill Holderman,"Diane Keaton,Jane Fonda,Candice Bergen",3.09
1135,Failure to Launch,4.6,2793,Prime Video,2006.0,Tom Dey,"Matthew McConaughey,Sarah Jessica Parker",2.89
1136,Scream,4.4,32182,Prime Video,1996.0,Wes Craven,"Neve Campbell,David Arquette,Courteney Cox Arquette",3.79
1137,Kingdom of Heaven,4.6,8829,Prime Video,2005.0,Ridley Scott,"Orlando Bloom,Eva Green,Liam Neeson,Jeremy Irons",3.79
1138,The Courier,4.5,12201,Prime Video,2021.0,Dominic Cooke,"Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan",3.79
1139,War of The Worlds (2005),4.6,15618,Prime Video,2005.0,Steven Spielberg,"Tom Cruise,Dakota Fanning,Miranda Otto,Tim Robbins",3.99
1140,Bats,4.3,675,Prime Video,1999.0,Louis Morneau,"Lou Diamond Phillips,Dina Meyer,Bob Gunton,Leon",3.99
1141,The Forger,4.4,659,Prime Video,2015.0,Philip Martin,"John Travolta,Christpher Plummer,Tye Sheridan",3.99
1142,Tomorrow Never Dies,4.6,2721,Prime Video,1997.0,Roger Spottiswoode,"Pierce Brosnan,Michelle Yeoh,Teri Hatcher",3.99
1143,Farewell My Love,4.5,6,Prime Video,2000.0,Randall Fontana,"Gabrielle Fitzpatrick,Phillip Rhys Chaudhary",3.99
1144,Lavell Crawford: The Comedy Vaccine (Extended Edition),4.3,1785,Prime Video,2021.0,Brian Volk-Weiss,Lavell Crawford,0.99
1145,The Reef,4.5,758,Prime Video,2007.0,"Howard E. Baker,John Fox","Freddie Prinze Jr.,Rob Schneider,Evan Rachel Wood",0.99
1146,Sinister,4.4,16662,Prime Video,2012.0,Scott Derrickson,"Ethan Hawke,Juliet Rylance,James Ransone,Clare Foley",3.79
1147,Nanny McPhee,4.8,6134,Prime Video,2006.0,Kirk Jones,"Emma Thompson,Colin Firth,Angela Lansbury",3.99
1148,Resident Evil: The Final Chapter,4.6,19280,Prime Video,2017.0,Paul W.S. Anderson,"Milla Jovovich,Iain Glen,Ali Larter,Shawn Roberts",3.89
1149,Autumn in New York,4.5,1534,Prime Video,2000.0,Joan Chen,"Richard Gere,Winona Ryder,Anthony LaPaglia",3.89
1150,The Electrical Life Of Louis Wain,4.4,1243,Prime Video,2021.0,Will Sharpe,"Benedict Cumberbatch,Claire Foy,Andrea Riseborough",3.89
1151,Beyond the Law,4.2,1373,Prime Video,2019.0,James Cullen Bressack,"DMX,Steven Seagal,Johnny Messner,Bill Cobbs",3.89
1152,Chick Fight,4.0,6825,Prime Video,2020.0,Paul Leyden,"Malin Akerman,Alec Baldwin,Bella Thorne",1.99
1153,Batman & Robin,4.5,4664,Prime Video,1997.0,Joel Schumacher,"Arnold Schwarzenegger,George Clooney,Chris O'Donnell",3.79
1155,Spinning Man,4.0,1053,Prime Video,2018.0,Simon Kaijser,"Pierce Brosnan,Guy Pearce,Minnie Driver,Jamie Kennedy",3.79
1156,Annabelle: Creation,4.5,15956,Prime Video,2017.0,David Sandberg,"Stephanie Sigman,Talitha Bateman,Lulu Wilson",3.79
1157,Book Club: The Next Chapter,4.4,2758,Prime Video,2023.0,Bill Holderman,"Diane Keaton,Jane Fonda,Candice Bergen,Andy Garcia",5.99
1158,The Jewel of the Nile,4.6,2391,Prime Video,1985.0,Lewis Teague,"Michael Douglas,Kathleen Turner",5.99
1159,The Knight of Shadows,4.1,510,Prime Video,2020.0,Vash,"Jackie Chan,Elane Zhong,Ethan Juan",5.99
1160,Madagascar: Escape 2 Africa,4.7,3958,Prime Video,2008.0,"Eric Darnell,Tom McGrath","Ben Stiller,Chris Rock,David Schwimmer",3.99
1161,Season of the Witch,4.4,2901,Prime Video,2011.0,Dominic Sena,"Nicolas Cage,Ron Perlman,Claire Foy",3.99
1162,Trick 'r Treat,4.6,22323,Prime Video,2008.0,Michael Dougherty,"Anna Paquin,Brian Cox,Dylan Baker,Rochelle Aytes",3.99
1163,Shutter Island,4.6,14415,Prime Video,2010.0,Martin Scorsese,"Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley",3.59
1164,The Ring,4.5,5011,Prime Video,2002.0,Gore Verbinski,"Naomi Watts,Martin Henderson,Brian Cox,David Dorfman",3.79
1165,The Woman in Black,4.4,8485,Prime Video,2012.0,James Watkins,"Daniel Radcliffe,Janet McTeer,Molly Harmon",3.79
1166,The Cat in the Hat Knows a Lot About Halloween!,4.6,303,Prime Video,2016.0,Tony Collingwood,"Alexa Torrington,Jacob Ewaniuk,Martin Short",2.99
1167,Summer of 84,4.3,4428,Prime Video,2018.0,"Francois Simard,Anouk Whissell,Yoann-Karl Whissell","Graham Verchere,Judah Lewis,Caleb Emery",1.99
1168,Retreat To Paradise,4.2,67,Prime Video,2020.0,Brian Brough,"Melanie Stone,Casey Elliott,Brian Krause,Jaclyn Hales",1.99
1169,The Lord of The Rings: The Fellowship of the Ring (Extended Edition),4.8,46056,Prime Video,2001.0,Peter Jackson,"Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen",14.99
1170,The Book of Life,4.8,16734,Prime Video,2014.0,Jorge Gutierrez,"Christina Applegate,Ice Cube,Kate del Castillo",14.99
1171,The Matrix: Resurrections,4.0,4298,Prime Video,2021.0,Lana Wachowski,"Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II",3.79
1172,Black Mass,4.5,9430,Prime Video,2015.0,Scott Cooper,"Johnny Depp,Benedict Cumberbatch,Dakota Johnson",3.79
1173,Gone,4.4,1970,Prime Video,2012.0,Heitor Dhalia,"Amanda Seyfried,Jennifer Carpenter,Wes Bentley",3.79
1174,The Mist,4.5,13833,Prime Video,2007.0,Frank Darabont,"Thomas Jane,Marcia Gay Harden,Laurie Holden",3.79
1175,The Sandlot,4.9,27905,Prime Video,1993.0,"David Mickey Evans,David J. Evans,David M. Evans","Tom Guiry,Mike Vitar,Patrick Renna,Chauncey Leopardi",3.79
1176,Of an Age,4.4,101,Prime Video,2023.0,Goran Stolevski,"Elias Anton,Thom Green,Hattie Hook",5.99
1177,Tyler Perry's I Can Do Bad All By Myself,4.8,1348,Prime Video,2009.0,Tyler Perry,"Tyler Perry,Taraji P. Henson",5.99
1180,Red Dragon,4.7,8030,Prime Video,2002.0,Brett Ratner,"Anthony Hopkins,Edward Norton,Ralph Fiennes",3.79
1181,Madea Gets A Job ( Stage Play),5.0,1,Prime Video,2013.0,Tyler Perry,"Tyler Perry,Patrice Lovely",3.79
1182,Recoil,4.4,500,Prime Video,2012.0,Terry Miles,"Steve Austin,Danny Trejo,Serinda Swan",1.99
1183,Legion,4.6,5173,Prime Video,2010.0,Scott Stewart,"Paul Bettany,Lucas Black,Tyrese Gibson",3.59
1184,Queen Bees,4.4,17100,Prime Video,2021.0,Michael Lembeck,"Ellen Burstyn,James Caan,Ann-Margret,Jane Curtin",3.99
1185,Peace by Chocolate,4.5,74,Prime Video,2022.0,Jonathan Keijser,"Hatem Ali,Ayham Abou Ammar,Mark Camacho,Yara Sabri",1.99
1186,Christmas Belle,4.6,373,Prime Video,2013.0,Alex Wright,"Haylie Duff,Nicholas Gonzalez,Mark Famiglietti",1.99
1188,Belly,4.7,6679,Prime Video,1998.0,Hype Williams,"Nas,Dmx,Taral Hicks,Hassan Johnson",3.99
1189,The Sons of Katie Elder,4.8,2964,Prime Video,1965.0,Henry Hathaway,"John Wayne,Dean Martin,Martha Hyer",3.59
1190,Looking For Her,4.7,29,Prime Video,2022.0,Alexandra Swarens,"Olivia Buckle,Alexandra Swarens,Sophie Arrick-Lewis",3.59
1191,Dino King,4.3,149,Prime Video,2013.0,Han Sang-ho,Goo Ja-hyeong,3.59
1192,Devil's Pond,4.3,190,Prime Video,2005.0,Joel Viertel,"Kip Pardue,Tara Reid,Meredith Baxter,Dan Gunther",3.59
1193,Country Remedy,4.2,2317,Prime Video,2007.0,Andrew C. Erin,"Cameron Bancroft,Bellamy Young,Aidan Mitchell",3.59
1194,Curious George: A Halloween Boo Fest,4.9,3104,Prime Video,2013.0,"Scott Heming,Andrei Svislotski","Frank Welker,Jeff Bennett,Carlos Alazraqui",7.99
1195,Undiscovered Disney Parks,4.2,140,Prime Video,2006.0,Lightship Entertainment,"Mickey Mouse,Walt Disney",7.99
